id,order_day_numb,order_time_numb,order_day,order_time,d_hour,d_minute,d_second,dtimes,from,to,sum_transaction,from_name,to_name,from_group,to_group,from_Outstanding_DayBegin,to_Outstanding_DayBegin,from_DayChange_Income,from_DayChange_Outcome,to_DayChange_Income,to_DayChange_Outcome,from_Outstanding_DayEnd,to_Outstanding_DayEnd,from_DayChange_pr,to_DayChange_pr,graph_type,per5mnum,per5mbeg,per5mend,color_from,color_to,from_fixed,from_coord_x,from_coord_y,to_fixed,to_coord_x,to_coord_y
2347,1,2961,2016-06-20,12:44:51,12,44,51,2016-06-20 12:44:51,19,10,0.17,Kreschatyk,Vtb,Group 1,Russian,19.00,29.00,5.81,27.87,29.73,32.99,0.00,25.74,-1.000,-0.112,directed,45,12:40:00,12:45:00,1,4,False,NA,NA,True,600,0
2348,1,2962,2016-06-20,12:44:54,12,44,54,2016-06-20 12:44:54,20,1,0.20,KreditDnipro,Privat,Group 1,Privat,17.00,100.00,17.91,9.36,41.20,15.95,25.54,125.24,0.503,0.252,directed,45,12:40:00,12:45:00,10,8,False,NA,NA,True,0,600
2349,1,2963,2016-06-20,12:44:55,12,44,55,2016-06-20 12:44:55,10,6,0.24,Vtb,UkrSoc,Russian,Russian,29.00,39.00,29.73,33.23,34.78,37.54,25.50,36.25,-0.121,-0.071,directed,45,12:40:00,12:45:00,4,5,True,600,0,False,NA,NA
2350,1,2964,2016-06-20,12:44:59,12,44,59,2016-06-20 12:44:59,11,1,0.31,UkrSib,Privat,Group 1,Privat,28.00,100.00,28.00,36.77,41.50,15.95,19.23,125.55,-0.313,0.255,directed,45,12:40:00,12:45:00,3,8,False,NA,NA,True,0,600
2351,1,2965,2016-06-20,12:45:00,12,45,0,2016-06-20 12:45:00,15,2,0.15,Pivd,Oschad,Group 1,With State Participation,19.00,74.00,26.17,26.01,33.12,40.78,19.16,66.35,0.008,-0.103,directed,45,12:40:00,12:45:00,7,4,False,NA,NA,True,-600,0
2352,1,2966,2016-06-20,12:45:03,12,45,3,2016-06-20 12:45:03,4,3,0.46,PIB,Exim,Russian,With State Participation,40.00,60.00,29.38,36.13,41.57,39.67,33.25,61.91,-0.169,0.032,directed,46,12:45:00,12:50:00,4,7,True,450,450,True,-450,-450
2353,1,2967,2016-06-20,12:45:05,12,45,5,2016-06-20 12:45:05,20,8,0.13,KreditDnipro,Alfa,Group 1,Russian,17.00,49.00,17.91,9.49,31.74,37.60,25.42,43.14,0.495,-0.120,directed,46,12:45:00,12:50:00,9,4,False,NA,NA,False,NA,NA
2354,1,2968,2016-06-20,12:45:13,12,45,13,2016-06-20 12:45:13,19,6,0.23,Kreschatyk,UkrSoc,Group 1,Russian,19.00,39.00,5.81,28.09,35.01,37.54,0.00,36.47,-1.000,-0.065,directed,46,12:45:00,12:50:00,1,5,False,NA,NA,False,NA,NA
2355,1,2971,2016-06-20,12:45:34,12,45,34,2016-06-20 12:45:34,2,5,0.26,Oschad,Aval,With State Participation,Belonging to foreign banking groups ,74.00,38.00,33.12,41.04,37.60,32.84,66.09,42.75,-0.107,0.125,directed,46,12:45:00,12:50:00,4,8,True,-600,0,False,NA,NA
2356,1,2973,2016-06-20,12:45:47,12,45,47,2016-06-20 12:45:47,14,15,0.17,AgriCole,Pivd,Belonging to foreign banking groups ,Group 1,42.00,19.00,35.16,21.56,26.33,26.01,55.61,19.33,0.324,0.017,directed,46,12:45:00,12:50:00,9,7,True,0,-600,False,NA,NA
2357,1,2974,2016-06-20,12:45:54,12,45,54,2016-06-20 12:45:54,10,2,0.37,Vtb,Oschad,Russian,With State Participation,29.00,74.00,29.73,33.60,33.49,41.04,25.13,66.45,-0.134,-0.102,directed,46,12:45:00,12:50:00,4,4,True,600,0,True,-600,0
2358,1,2976,2016-06-20,12:46:03,12,46,3,2016-06-20 12:46:03,19,6,0.21,Kreschatyk,UkrSoc,Group 1,Russian,19.00,39.00,5.81,28.30,35.21,37.54,0.00,36.68,-1.000,-0.060,directed,46,12:45:00,12:50:00,1,5,False,NA,NA,False,NA,NA
2359,1,2977,2016-06-20,12:46:04,12,46,4,2016-06-20 12:46:04,2,5,0.33,Oschad,Aval,With State Participation,Belonging to foreign banking groups ,74.00,38.00,33.49,41.36,37.92,32.84,66.13,43.08,-0.106,0.134,directed,46,12:45:00,12:50:00,4,8,True,-600,0,False,NA,NA
2360,1,2978,2016-06-20,12:46:05,12,46,5,2016-06-20 12:46:05,13,7,0.27,OTP,Sber,Belonging to foreign banking groups ,Russian,25.00,43.00,23.98,36.51,35.18,38.51,12.47,39.67,-0.501,-0.077,directed,46,12:45:00,12:50:00,2,5,False,NA,NA,True,450,-450
2361,1,2979,2016-06-20,12:46:12,12,46,12,2016-06-20 12:46:12,6,16,0.13,UkrSoc,Fido,Russian,Group 1,39.00,21.00,35.21,37.67,23.55,26.13,36.54,18.42,-0.063,-0.123,directed,46,12:45:00,12:50:00,5,4,False,NA,NA,False,NA,NA
2362,1,2980,2016-06-20,12:46:18,12,46,18,2016-06-20 12:46:18,4,14,0.32,PIB,AgriCole,Russian,Belonging to foreign banking groups ,40.00,42.00,29.38,36.45,35.48,21.56,32.93,55.93,-0.177,0.332,directed,46,12:45:00,12:50:00,4,9,True,450,450,True,0,-600
2363,1,2981,2016-06-20,12:46:26,12,46,26,2016-06-20 12:46:26,7,17,0.22,Sber,Ing,Russian,Belonging to foreign banking groups ,43.00,25.00,35.18,38.74,31.19,16.20,39.45,39.99,-0.083,0.600,directed,46,12:45:00,12:50:00,5,10,True,450,-450,False,NA,NA
2364,1,2982,2016-06-20,12:46:26,12,46,26,2016-06-20 12:46:26,19,13,0.21,Kreschatyk,OTP,Group 1,Belonging to foreign banking groups ,19.00,25.00,5.81,28.51,24.19,36.51,0.00,12.68,-1.000,-0.493,directed,46,12:45:00,12:50:00,1,3,False,NA,NA,False,NA,NA
2365,1,2983,2016-06-20,12:46:33,12,46,33,2016-06-20 12:46:33,13,11,0.27,OTP,UkrSib,Belonging to foreign banking groups ,Group 1,25.00,28.00,24.19,36.77,28.26,36.77,12.42,19.50,-0.503,-0.304,directed,46,12:45:00,12:50:00,2,3,False,NA,NA,False,NA,NA
2366,1,2985,2016-06-20,12:46:43,12,46,43,2016-06-20 12:46:43,5,20,0.13,Aval,KreditDnipro,Belonging to foreign banking groups ,Group 1,38.00,17.00,37.92,32.98,18.04,9.49,42.95,25.55,0.130,0.503,directed,46,12:45:00,12:50:00,8,10,False,NA,NA,False,NA,NA
2367,1,2986,2016-06-20,12:46:52,12,46,52,2016-06-20 12:46:52,20,15,0.19,KreditDnipro,Pivd,Group 1,Group 1,17.00,19.00,18.04,9.68,26.53,26.01,25.36,19.52,0.492,0.028,directed,46,12:45:00,12:50:00,9,7,False,NA,NA,False,NA,NA
2368,1,2987,2016-06-20,12:46:59,12,46,59,2016-06-20 12:46:59,16,15,0.22,Fido,Pivd,Group 1,Group 1,21.00,19.00,23.55,26.35,26.75,26.01,18.20,19.75,-0.133,0.039,directed,46,12:45:00,12:50:00,4,7,False,NA,NA,False,NA,NA
2369,1,2988,2016-06-20,12:47:07,12,47,7,2016-06-20 12:47:07,5,10,0.25,Aval,Vtb,Belonging to foreign banking groups ,Russian,38.00,29.00,37.92,33.23,29.98,33.60,42.69,25.38,0.124,-0.125,directed,46,12:45:00,12:50:00,8,4,False,NA,NA,True,600,0
2370,1,2989,2016-06-20,12:47:13,12,47,13,2016-06-20 12:47:13,2,11,0.19,Oschad,UkrSib,With State Participation,Group 1,74.00,28.00,33.49,41.56,28.46,36.77,65.93,19.69,-0.109,-0.297,directed,46,12:45:00,12:50:00,4,4,True,-600,0,False,NA,NA
2371,1,2990,2016-06-20,12:47:18,12,47,18,2016-06-20 12:47:18,5,19,0.21,Aval,Kreschatyk,Belonging to foreign banking groups ,Group 1,38.00,19.00,37.92,33.44,6.03,28.51,42.48,0.00,0.118,-1.000,directed,46,12:45:00,12:50:00,8,1,False,NA,NA,False,NA,NA
2372,1,2991,2016-06-20,12:47:24,12,47,24,2016-06-20 12:47:24,11,19,0.15,UkrSib,Kreschatyk,Group 1,Group 1,28.00,19.00,28.46,36.91,6.17,28.51,19.54,0.00,-0.302,-1.000,directed,46,12:45:00,12:50:00,3,1,False,NA,NA,False,NA,NA
2373,1,2993,2016-06-20,12:47:30,12,47,30,2016-06-20 12:47:30,17,5,0.31,Ing,Aval,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,38.00,31.19,16.52,38.24,33.44,39.68,42.79,0.587,0.126,directed,46,12:45:00,12:50:00,10,8,False,NA,NA,False,NA,NA
2374,1,2994,2016-06-20,12:47:30,12,47,30,2016-06-20 12:47:30,12,17,0.20,UkrGaz,Ing,With State Participation,Belonging to foreign banking groups ,27.00,25.00,29.93,30.09,31.40,16.52,26.84,39.88,-0.006,0.595,directed,46,12:45:00,12:50:00,5,10,True,-450,450,False,NA,NA
2375,1,2995,2016-06-20,12:47:32,12,47,32,2016-06-20 12:47:32,15,14,0.23,Pivd,AgriCole,Group 1,Belonging to foreign banking groups ,19.00,42.00,26.75,26.23,35.71,21.56,19.52,56.15,0.027,0.337,directed,46,12:45:00,12:50:00,7,9,False,NA,NA,True,0,-600
2376,1,2996,2016-06-20,12:47:37,12,47,37,2016-06-20 12:47:37,5,8,0.40,Aval,Alfa,Belonging to foreign banking groups ,Russian,38.00,49.00,38.24,33.84,32.14,37.60,42.39,43.54,0.116,-0.111,directed,46,12:45:00,12:50:00,8,4,False,NA,NA,False,NA,NA
2377,1,2997,2016-06-20,12:47:45,12,47,45,2016-06-20 12:47:45,12,18,0.26,UkrGaz,Citi,With State Participation,Belonging to foreign banking groups ,27.00,30.00,29.93,30.35,31.39,21.20,26.59,40.19,-0.015,0.340,directed,46,12:45:00,12:50:00,5,9,True,-450,450,False,NA,NA
2378,1,2998,2016-06-20,12:47:49,12,47,49,2016-06-20 12:47:49,15,1,0.16,Pivd,Privat,Group 1,Privat,19.00,100.00,26.75,26.39,41.66,15.95,19.36,125.71,0.019,0.257,directed,46,12:45:00,12:50:00,7,8,False,NA,NA,True,0,600
2379,1,3002,2016-06-20,12:48:03,12,48,3,2016-06-20 12:48:03,5,17,0.24,Aval,Ing,Belonging to foreign banking groups ,Belonging to foreign banking groups ,38.00,25.00,38.24,34.08,31.63,16.52,42.15,40.12,0.109,0.605,directed,46,12:45:00,12:50:00,8,10,False,NA,NA,False,NA,NA
2380,1,3003,2016-06-20,12:48:10,12,48,10,2016-06-20 12:48:10,4,5,0.35,PIB,Aval,Russian,Belonging to foreign banking groups ,40.00,38.00,29.38,36.80,38.59,34.08,32.58,42.51,-0.186,0.119,directed,46,12:45:00,12:50:00,4,8,True,450,450,False,NA,NA
2381,1,3004,2016-06-20,12:48:15,12,48,15,2016-06-20 12:48:15,18,3,0.23,Citi,Exim,Belonging to foreign banking groups ,With State Participation,30.00,60.00,31.39,21.43,41.81,39.67,39.96,62.14,0.332,0.036,directed,46,12:45:00,12:50:00,9,7,False,NA,NA,True,-450,-450
2382,1,3006,2016-06-20,12:48:32,12,48,32,2016-06-20 12:48:32,2,11,0.18,Oschad,UkrSib,With State Participation,Group 1,74.00,28.00,33.49,41.74,28.64,36.91,65.75,19.73,-0.112,-0.295,directed,46,12:45:00,12:50:00,4,4,True,-600,0,False,NA,NA
2383,1,3007,2016-06-20,12:48:36,12,48,36,2016-06-20 12:48:36,17,14,0.25,Ing,AgriCole,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,42.00,31.63,16.77,35.96,21.56,39.86,56.41,0.595,0.343,directed,46,12:45:00,12:50:00,10,9,False,NA,NA,True,0,-600
2384,1,3008,2016-06-20,12:48:45,12,48,45,2016-06-20 12:48:45,16,14,0.26,Fido,AgriCole,Group 1,Belonging to foreign banking groups ,21.00,42.00,23.55,26.62,36.23,21.56,17.94,56.67,-0.146,0.349,directed,46,12:45:00,12:50:00,4,9,False,NA,NA,True,0,-600
2385,1,3009,2016-06-20,12:48:46,12,48,46,2016-06-20 12:48:46,8,17,0.29,Alfa,Ing,Russian,Belonging to foreign banking groups ,49.00,25.00,32.14,37.89,31.92,16.77,43.25,40.15,-0.117,0.606,directed,46,12:45:00,12:50:00,4,10,False,NA,NA,False,NA,NA
2386,1,3010,2016-06-20,12:48:47,12,48,47,2016-06-20 12:48:47,1,6,0.43,Privat,UkrSoc,Privat,Russian,100.00,39.00,41.66,16.39,35.65,37.67,125.28,36.98,0.253,-0.052,directed,46,12:45:00,12:50:00,8,5,True,0,600,False,NA,NA
2387,1,3011,2016-06-20,12:48:53,12,48,53,2016-06-20 12:48:53,15,9,0.22,Pivd,Fuib,Group 1,Group 1,19.00,31.00,26.75,26.62,29.61,32.53,19.14,28.09,0.007,-0.094,directed,46,12:45:00,12:50:00,7,5,False,NA,NA,False,NA,NA
2388,1,3012,2016-06-20,12:48:59,12,48,59,2016-06-20 12:48:59,13,16,0.23,OTP,Fido,Belonging to foreign banking groups ,Group 1,25.00,21.00,24.19,37.00,23.78,26.62,12.19,18.17,-0.513,-0.135,directed,46,12:45:00,12:50:00,2,4,False,NA,NA,False,NA,NA
2389,1,3013,2016-06-20,12:48:59,12,48,59,2016-06-20 12:48:59,12,6,0.23,UkrGaz,UkrSoc,With State Participation,Russian,27.00,39.00,29.93,30.58,35.87,37.67,26.36,37.20,-0.024,-0.046,directed,46,12:45:00,12:50:00,5,5,True,-450,450,False,NA,NA
2390,1,3014,2016-06-20,12:49:00,12,49,0,2016-06-20 12:49:00,5,18,0.35,Aval,Citi,Belonging to foreign banking groups ,Belonging to foreign banking groups ,38.00,30.00,38.59,34.43,31.74,21.43,42.16,40.31,0.109,0.344,directed,46,12:45:00,12:50:00,8,9,False,NA,NA,False,NA,NA
2391,1,3015,2016-06-20,12:49:09,12,49,9,2016-06-20 12:49:09,1,5,0.46,Privat,Aval,Privat,Belonging to foreign banking groups ,100.00,38.00,41.66,16.85,39.05,34.43,124.81,42.62,0.248,0.122,directed,46,12:45:00,12:50:00,8,8,True,0,600,False,NA,NA
2392,1,3017,2016-06-20,12:49:13,12,49,13,2016-06-20 12:49:13,10,5,0.20,Vtb,Aval,Russian,Belonging to foreign banking groups ,29.00,38.00,29.98,33.80,39.25,34.43,25.18,42.82,-0.132,0.127,directed,46,12:45:00,12:50:00,4,8,True,600,0,False,NA,NA
2393,1,3018,2016-06-20,12:49:14,12,49,14,2016-06-20 12:49:14,8,13,0.29,Alfa,OTP,Russian,Belonging to foreign banking groups ,49.00,25.00,32.14,38.17,24.48,37.00,42.97,12.47,-0.123,-0.501,directed,46,12:45:00,12:50:00,4,2,False,NA,NA,False,NA,NA
2394,1,3019,2016-06-20,12:49:22,12,49,22,2016-06-20 12:49:22,13,17,0.17,OTP,Ing,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,25.00,24.48,37.18,32.09,16.77,12.30,40.32,-0.508,0.613,directed,46,12:45:00,12:50:00,2,10,False,NA,NA,False,NA,NA
2395,1,3020,2016-06-20,12:49:26,12,49,26,2016-06-20 12:49:26,17,20,0.16,Ing,KreditDnipro,Belonging to foreign banking groups ,Group 1,25.00,17.00,32.09,16.93,18.21,9.68,40.16,25.52,0.606,0.501,directed,46,12:45:00,12:50:00,10,10,False,NA,NA,False,NA,NA
2396,1,3021,2016-06-20,12:49:34,12,49,34,2016-06-20 12:49:34,17,2,0.19,Ing,Oschad,Belonging to foreign banking groups ,With State Participation,25.00,74.00,32.09,17.12,33.68,41.74,39.97,65.94,0.599,-0.109,directed,46,12:45:00,12:50:00,10,4,False,NA,NA,True,-600,0
2397,1,3022,2016-06-20,12:49:42,12,49,42,2016-06-20 12:49:42,12,18,0.26,UkrGaz,Citi,With State Participation,Belonging to foreign banking groups ,27.00,30.00,29.93,30.83,32.00,21.43,26.10,40.57,-0.033,0.352,directed,46,12:45:00,12:50:00,5,9,True,-450,450,False,NA,NA
2398,1,3023,2016-06-20,12:49:46,12,49,46,2016-06-20 12:49:46,18,4,0.23,Citi,PIB,Belonging to foreign banking groups ,Russian,30.00,40.00,32.00,21.65,29.60,36.80,40.35,32.80,0.345,-0.180,directed,46,12:45:00,12:50:00,9,4,False,NA,NA,True,450,450
2399,1,3024,2016-06-20,12:49:53,12,49,53,2016-06-20 12:49:53,3,14,0.43,Exim,AgriCole,With State Participation,Belonging to foreign banking groups ,60.00,42.00,41.81,40.09,36.66,21.56,61.71,57.10,0.029,0.359,directed,46,12:45:00,12:50:00,7,9,True,-450,-450,True,0,-600
2400,1,3025,2016-06-20,12:50:02,12,50,2,2016-06-20 12:50:02,4,7,0.35,PIB,Sber,Russian,Russian,40.00,43.00,29.60,37.15,35.54,38.74,32.45,39.80,-0.189,-0.074,directed,47,12:50:00,12:55:00,4,5,True,450,450,True,450,-450
2401,1,3026,2016-06-20,12:50:09,12,50,9,2016-06-20 12:50:09,7,6,0.30,Sber,UkrSoc,Russian,Russian,43.00,39.00,35.54,39.04,36.17,37.67,39.50,37.50,-0.081,-0.038,directed,47,12:50:00,12:55:00,5,5,True,450,-450,False,NA,NA
2402,1,3029,2016-06-20,12:50:17,12,50,17,2016-06-20 12:50:17,20,3,0.11,KreditDnipro,Exim,Group 1,With State Participation,17.00,60.00,18.21,9.79,41.91,40.09,25.41,61.82,0.495,0.030,directed,47,12:50:00,12:55:00,9,7,False,NA,NA,True,-450,-450
2403,1,3030,2016-06-20,12:50:24,12,50,24,2016-06-20 12:50:24,10,15,0.18,Vtb,Pivd,Russian,Group 1,29.00,19.00,29.98,33.98,26.93,26.62,25.00,19.32,-0.138,0.017,directed,47,12:50:00,12:55:00,4,7,True,600,0,False,NA,NA
2404,1,3031,2016-06-20,12:50:28,12,50,28,2016-06-20 12:50:28,16,12,0.24,Fido,UkrGaz,Group 1,With State Participation,21.00,27.00,23.78,26.86,30.18,30.83,17.92,26.34,-0.146,-0.024,directed,47,12:50:00,12:55:00,4,5,False,NA,NA,True,-450,450
2405,1,3033,2016-06-20,12:50:40,12,50,40,2016-06-20 12:50:40,12,18,0.22,UkrGaz,Citi,With State Participation,Belonging to foreign banking groups ,27.00,30.00,30.18,31.05,32.22,21.65,26.12,40.56,-0.032,0.352,directed,47,12:50:00,12:55:00,5,9,True,-450,450,False,NA,NA
2406,1,3034,2016-06-20,12:50:47,12,50,47,2016-06-20 12:50:47,13,1,0.16,OTP,Privat,Belonging to foreign banking groups ,Privat,25.00,100.00,24.48,37.34,41.82,16.85,12.14,124.97,-0.514,0.250,directed,47,12:50:00,12:55:00,2,8,False,NA,NA,True,0,600
2407,1,3035,2016-06-20,12:50:55,12,50,55,2016-06-20 12:50:55,6,18,0.30,UkrSoc,Citi,Russian,Belonging to foreign banking groups ,39.00,30.00,36.17,37.97,32.52,21.65,37.20,40.87,-0.046,0.362,directed,47,12:50:00,12:55:00,5,9,False,NA,NA,False,NA,NA
2408,1,3036,2016-06-20,12:50:56,12,50,56,2016-06-20 12:50:56,15,4,0.19,Pivd,PIB,Group 1,Russian,19.00,40.00,26.93,26.80,29.79,37.15,19.13,32.64,0.007,-0.184,directed,47,12:50:00,12:55:00,7,4,False,NA,NA,True,450,450
2409,1,3037,2016-06-20,12:50:59,12,50,59,2016-06-20 12:50:59,18,6,0.26,Citi,UkrSoc,Belonging to foreign banking groups ,Russian,30.00,39.00,32.52,21.91,36.43,37.97,40.61,37.46,0.354,-0.040,directed,47,12:50:00,12:55:00,9,5,False,NA,NA,False,NA,NA
2410,1,3038,2016-06-20,12:51:00,12,51,0,2016-06-20 12:51:00,13,14,0.23,OTP,AgriCole,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,42.00,24.48,37.57,36.89,21.56,11.91,57.33,-0.524,0.365,directed,47,12:50:00,12:55:00,2,9,False,NA,NA,True,0,-600
2411,1,3039,2016-06-20,12:51:03,12,51,3,2016-06-20 12:51:03,7,1,0.34,Sber,Privat,Russian,Privat,43.00,100.00,35.54,39.38,42.16,16.85,39.16,125.31,-0.089,0.253,directed,47,12:50:00,12:55:00,5,8,True,450,-450,True,0,600
2412,1,3040,2016-06-20,12:51:10,12,51,10,2016-06-20 12:51:10,7,2,0.47,Sber,Oschad,Russian,With State Participation,43.00,74.00,35.54,39.85,34.15,41.74,38.69,66.41,-0.100,-0.103,directed,47,12:50:00,12:55:00,4,4,True,450,-450,True,-600,0
2413,1,3042,2016-06-20,12:51:28,12,51,28,2016-06-20 12:51:28,9,7,0.28,Fuib,Sber,Group 1,Russian,31.00,43.00,29.61,32.81,35.82,39.85,27.80,38.97,-0.103,-0.094,directed,47,12:50:00,12:55:00,4,5,False,NA,NA,True,450,-450
2414,1,3043,2016-06-20,12:51:34,12,51,34,2016-06-20 12:51:34,11,14,0.26,UkrSib,AgriCole,Group 1,Belonging to foreign banking groups ,28.00,42.00,28.64,37.17,37.15,21.56,19.47,57.59,-0.305,0.371,directed,47,12:50:00,12:55:00,3,9,False,NA,NA,True,0,-600
2415,1,3044,2016-06-20,12:51:34,12,51,34,2016-06-20 12:51:34,12,4,0.23,UkrGaz,PIB,With State Participation,Russian,27.00,40.00,30.18,31.28,30.02,37.15,25.90,32.86,-0.041,-0.178,directed,47,12:50:00,12:55:00,5,4,True,-450,450,True,450,450
2416,1,3045,2016-06-20,12:51:39,12,51,39,2016-06-20 12:51:39,17,1,0.26,Ing,Privat,Belonging to foreign banking groups ,Privat,25.00,100.00,32.09,17.38,42.42,16.85,39.71,125.57,0.589,0.256,directed,47,12:50:00,12:55:00,10,8,False,NA,NA,True,0,600
2417,1,3046,2016-06-20,12:51:48,12,51,48,2016-06-20 12:51:48,10,13,0.22,Vtb,OTP,Russian,Belonging to foreign banking groups ,29.00,25.00,29.98,34.20,24.70,37.57,24.78,12.13,-0.145,-0.515,directed,47,12:50:00,12:55:00,4,2,True,600,0,False,NA,NA
2418,1,3049,2016-06-20,12:52:08,12,52,8,2016-06-20 12:52:08,12,9,0.24,UkrGaz,Fuib,With State Participation,Group 1,27.00,31.00,30.18,31.52,29.85,32.81,25.66,28.04,-0.050,-0.095,directed,47,12:50:00,12:55:00,5,5,True,-450,450,False,NA,NA
2419,1,3050,2016-06-20,12:52:09,12,52,9,2016-06-20 12:52:09,9,8,0.38,Fuib,Alfa,Group 1,Russian,31.00,49.00,29.85,33.19,32.52,38.17,27.66,43.35,-0.108,-0.115,directed,47,12:50:00,12:55:00,4,4,False,NA,NA,False,NA,NA
2420,1,3051,2016-06-20,12:52:11,12,52,11,2016-06-20 12:52:11,13,15,0.20,OTP,Pivd,Belonging to foreign banking groups ,Group 1,25.00,19.00,24.70,37.77,27.13,26.80,11.93,19.33,-0.523,0.017,directed,47,12:50:00,12:55:00,2,7,False,NA,NA,False,NA,NA
2421,1,3052,2016-06-20,12:52:15,12,52,15,2016-06-20 12:52:15,14,11,0.20,AgriCole,UkrSib,Belonging to foreign banking groups ,Group 1,42.00,28.00,37.15,21.76,28.84,37.17,57.39,19.67,0.366,-0.298,directed,47,12:50:00,12:55:00,9,4,True,0,-600,False,NA,NA
2422,1,3053,2016-06-20,12:52:15,12,52,15,2016-06-20 12:52:15,4,16,0.23,PIB,Fido,Russian,Group 1,40.00,21.00,30.02,37.38,24.01,26.86,32.63,18.16,-0.184,-0.135,directed,47,12:50:00,12:55:00,4,4,True,450,450,False,NA,NA
2423,1,3055,2016-06-20,12:52:29,12,52,29,2016-06-20 12:52:29,6,17,0.26,UkrSoc,Ing,Russian,Belonging to foreign banking groups ,39.00,25.00,36.43,38.23,32.35,17.38,37.20,39.97,-0.046,0.599,directed,47,12:50:00,12:55:00,5,10,False,NA,NA,False,NA,NA
2424,1,3056,2016-06-20,12:52:38,12,52,38,2016-06-20 12:52:38,4,9,0.40,PIB,Fuib,Russian,Group 1,40.00,31.00,30.02,37.78,30.25,33.19,32.24,28.05,-0.194,-0.095,directed,47,12:50:00,12:55:00,4,5,True,450,450,False,NA,NA
2425,1,3057,2016-06-20,12:52:45,12,52,45,2016-06-20 12:52:45,19,5,0.18,Kreschatyk,Aval,Group 1,Belonging to foreign banking groups ,19.00,38.00,6.17,28.69,39.43,34.43,0.00,43.00,-1.000,0.131,directed,47,12:50:00,12:55:00,1,8,False,NA,NA,False,NA,NA
2426,1,3058,2016-06-20,12:52:45,12,52,45,2016-06-20 12:52:45,18,20,0.19,Citi,KreditDnipro,Belonging to foreign banking groups ,Group 1,30.00,17.00,32.52,22.10,18.40,9.79,40.42,25.60,0.347,0.506,directed,47,12:50:00,12:55:00,9,10,False,NA,NA,False,NA,NA
2427,1,3060,2016-06-20,12:52:56,12,52,56,2016-06-20 12:52:56,4,9,0.25,PIB,Fuib,Russian,Group 1,40.00,31.00,30.02,38.03,30.50,33.19,31.99,28.30,-0.200,-0.087,directed,47,12:50:00,12:55:00,4,5,True,450,450,False,NA,NA
2428,1,3063,2016-06-20,12:53:12,12,53,12,2016-06-20 12:53:12,8,12,0.23,Alfa,UkrGaz,Russian,With State Participation,49.00,27.00,32.52,38.40,30.41,31.52,43.12,25.89,-0.120,-0.041,directed,47,12:50:00,12:55:00,4,5,False,NA,NA,True,-450,450
2429,1,3064,2016-06-20,12:53:21,12,53,21,2016-06-20 12:53:21,16,7,0.20,Fido,Sber,Group 1,Russian,21.00,43.00,24.01,27.06,36.02,39.85,17.96,39.17,-0.145,-0.089,directed,47,12:50:00,12:55:00,4,5,False,NA,NA,True,450,-450
2430,1,3065,2016-06-20,12:53:23,12,53,23,2016-06-20 12:53:23,6,11,0.24,UkrSoc,UkrSib,Russian,Group 1,39.00,28.00,36.43,38.47,29.08,37.17,36.97,19.90,-0.052,-0.289,directed,47,12:50:00,12:55:00,5,4,False,NA,NA,False,NA,NA
2431,1,3066,2016-06-20,12:53:30,12,53,30,2016-06-20 12:53:30,19,11,0.20,Kreschatyk,UkrSib,Group 1,Group 1,19.00,28.00,6.17,28.89,29.27,37.17,0.00,20.10,-1.000,-0.282,directed,47,12:50:00,12:55:00,1,4,False,NA,NA,False,NA,NA
2432,1,3067,2016-06-20,12:53:38,12,53,38,2016-06-20 12:53:38,10,2,0.23,Vtb,Oschad,Russian,With State Participation,29.00,74.00,29.98,34.43,34.38,41.74,24.55,66.64,-0.153,-0.099,directed,47,12:50:00,12:55:00,4,5,True,600,0,True,-600,0
2433,1,3068,2016-06-20,12:53:47,12,53,47,2016-06-20 12:53:47,18,4,0.38,Citi,PIB,Belonging to foreign banking groups ,Russian,30.00,40.00,32.52,22.49,30.40,38.03,40.04,32.37,0.335,-0.191,directed,47,12:50:00,12:55:00,9,4,False,NA,NA,True,450,450
2434,1,3069,2016-06-20,12:53:49,12,53,49,2016-06-20 12:53:49,15,4,0.19,Pivd,PIB,Group 1,Russian,19.00,40.00,27.13,27.00,30.59,38.03,19.14,32.57,0.007,-0.186,directed,47,12:50:00,12:55:00,7,4,False,NA,NA,True,450,450
2435,1,3070,2016-06-20,12:53:55,12,53,55,2016-06-20 12:53:55,9,1,0.39,Fuib,Privat,Group 1,Privat,31.00,100.00,30.50,33.58,42.81,16.85,27.92,125.95,-0.100,0.260,directed,47,12:50:00,12:55:00,5,8,False,NA,NA,True,0,600
2436,1,3071,2016-06-20,12:54:03,12,54,3,2016-06-20 12:54:03,9,20,0.14,Fuib,KreditDnipro,Group 1,Group 1,31.00,17.00,30.50,33.72,18.53,9.79,27.78,25.74,-0.104,0.514,directed,47,12:50:00,12:55:00,4,10,False,NA,NA,False,NA,NA
2437,1,3072,2016-06-20,12:54:06,12,54,6,2016-06-20 12:54:06,2,14,0.48,Oschad,AgriCole,With State Participation,Belonging to foreign banking groups ,74.00,42.00,34.38,42.23,37.63,21.76,66.16,57.88,-0.106,0.378,directed,47,12:50:00,12:55:00,4,9,True,-600,0,True,0,-600
